id, cond, coglev, wer
7, one-robot, 1, 0.684872154
8, one-robot, 1, 0.895833333
9, one-robot, 0, 0.835621046
10, one-robot, 1, 0.85631424
12, one-robot, 0, 0.799972348
15, one-robot, 1, 0.76225292
16, one-robot, 1, 0.843524531
26, one-robot, 0, 0.833333333
27, one-robot, 0, 0.86639815
28, one-robot, 0, 0.846212121
29, one-robot, 0, 0.459699679
1, two-robot, 1, 0.788762
2, two-robot, 1, 0.857002297
4, two-robot, 0, 0.667460314
5, two-robot, 1, 0.446361262
6, two-robot, 0, 0.966666667
17, two-robot, 1, 0.95959596
18, two-robot, 1, 0.585221675
19, two-robot, 1, 0.75
20, two-robot, 1, 1
21, two-robot, 0, 0.847469207
22, two-robot, 0, 0.606478774
23, two-robot, 0, 0.761758419
24, two-robot, 0, 0.744109545
