cond, match, sec
Robot, Low, 8.845428571
Robot, Low, 5.826
Robot, Low, 11.88314286
Robot, Low, 19.71857143
Robot, Low, 18.86957143
Robot, High, 20.57057143
Robot, High, 36.25028571
Robot, High, 39.65214286
Robot, High, 30.503
Robot, High, 37.87742857
Robot, High, 11.92757143
Robot, High, 21.40628571
Robot, High, 31.42714286
CG, Low, 10.63571429
CG, Low, 32.65028571
CG, Low, 7.902142857
CG, Low, 16.33285714
CG, Low, 5.539857143
CG, High, 16.23228571
CG, High, 12.63471429
CG, High, 17.98814286
CG, High, 19.99871429
CG, High, 14.00671429
CG, High, 8.082285714
CG, High, 32.76057143
CG, High, 16.36914286
